file,node number,problem,distance,route
rue,20,1,388,"0,7,13,6,17,11,10,18,19,5,15,4,8,2,16,14,3,12,9,1"
rue,20,2,367,"0,2,4,7,16,14,11,13,9,12,10,15,1,5,19,6,3,17,8,18"
rue,20,3,301,"0,18,19,8,5,6,4,10,12,1,2,9,11,14,16,13,7,3,15,17"
rue,20,4,349,"0,13,17,15,1,16,5,10,9,2,7,3,19,12,4,18,14,6,11,8"
rue,20,5,424,"0,8,10,9,2,5,18,15,7,17,11,19,16,4,1,14,12,13,6,3"
rue,20,6,395,"0,1,18,17,7,14,13,10,6,3,4,8,11,16,5,15,19,2,9,12"
rue,20,7,381,"0,10,13,8,1,4,3,17,14,7,19,9,6,2,11,16,15,5,18,12"
rue,20,8,424,"0,12,19,3,10,5,18,9,8,13,16,6,4,11,2,15,7,14,1,17"
rue,20,9,423,"0,16,3,5,11,4,2,14,19,17,8,18,1,12,7,9,10,15,6,13"
rue,20,10,399,"0,19,14,5,10,8,3,7,4,12,9,11,2,17,18,1,13,15,16,6"
clu,20,1,323,"0,11,18,10,4,5,7,15,16,9,1,13,14,19,12,2,3,6,17,8"
clu,20,2,414,"0,11,4,10,15,6,7,1,17,19,3,8,13,14,5,12,18,9,16,2"
clu,20,3,234,"0,11,13,6,17,7,1,14,9,19,3,4,10,12,2,16,8,5,18,15"
clu,20,4,367,"0,1,3,7,19,11,9,16,12,5,2,17,15,10,13,14,4,8,6,18"
clu,20,5,346,"0,15,16,17,7,6,12,19,3,14,8,9,11,5,4,13,10,18,2,1"
clu,20,6,365,"0,11,17,7,14,3,1,9,5,15,10,13,2,18,19,8,16,6,12,4"
clu,20,7,285,"0,8,2,5,9,19,6,15,11,12,16,14,17,3,10,13,4,7,1,18"
clu,20,8,290,"0,4,5,3,2,12,16,17,15,10,7,8,9,14,11,1,19,13,18,6"
clu,20,9,266,"0,1,11,16,9,3,5,14,17,10,6,4,13,12,2,8,15,18,7,19"
clu,20,10,337,"0,14,16,7,19,10,4,8,1,13,9,15,18,11,2,6,12,5,17,3"
